sample,function,source,Time,Time .1,Token number,tape number,clause I,clause f,clause m,Label,cluster,cluster_color,is_real
"A group of friends went on a road trip across Europe. This is an adventure we will never forget, look! We're experiencing so many different cultures and lands. They visited museums, churches, and historic sites, feeling grateful for the opportunity to learn about history and broaden their horizons.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a road trip across the country. This is going to be an unforgettable adventure, look! We're exploring new sights and making memories together. They visited landmarks, natural wonders, and famous cities, feeling grateful for the opportunity to experience so much together.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a camping trip in the desert. This is an adventure like no other, look! We're surrounded by beautiful sand dunes and endless skies. They spent their days exploring the desert, climbing dunes, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a camping trip in the rainforest. This is an adventure like no other, look! We're surrounded by lush vegetation and diverse wildlife. They spent their days exploring trails, spotting animals, and enjoying each other’s company, feeling grateful for the chance to escape.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a camping trip in the mountains. This is an adventure like no other, look! We're surrounded by breathtaking scenery and fresh air. They spent their days exploring trails, climbing peaks, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"The group of friends went on a camping trip in the woods. Wow, this is beautiful, look! It feels like we're in another world. They set up camp and spent the night telling ghost stories and roasting marshmallows over a fire.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a camping trip in the mountains. This is so peaceful and rejuvenating, look! We're disconnecting from our busy lives and connecting with nature. They spent their days hiking, fishing, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a road trip across Europe. This is going to be an adventure we will never forget, look! We're experiencing so many different cultures and lands. They visited museums, churches, and historic sites, feeling grateful for the opportunity to learn about history and broaden their horizons.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a road trip across Europe. This is an adventure we will never forget, look! We're experiencing so many different cultures and sights. They visited famous landmarks, tried delicious food, and enjoyed each other’s company, feeling grateful for the opportunity to travel together.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a camping trip in the desert. This is an adventure like no other, look! We're surrounded by beautiful sand dunes and endless skies. They spent their days exploring the desert, climbing dunes, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a camping trip in the wilderness. This is a chance to disconnect from daily life and reconnect with nature, look! We're taking advantage of it. They spent their days hiking, fishing, and enjoying each other’s company, feeling grateful for the opportunity to escape.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a road trip across America. This is an adventure of a lifetime, look! We're seeing so many iconic sights and landscapes. They visited famous landmarks, sampled regional cuisine, and enjoyed each other’s company, feeling grateful for the chance to travel together.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a camping trip in a remote area of the wilderness. This is an adventure like no other, look! We're taking a break from daily life and connecting with nature. They spent their days hiking, fishing, and enjoying each other’s company, feeling grateful for the chance to escape.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a road trip across America. This is an adventure of a lifetime, look! We're seeing so many iconic sights and landscapes. They visited famous landmarks, sampled regional cuisine, and enjoyed each other’s company, feeling grateful for the chance to travel together.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a camping trip in a national park. This is an adventure like no other, look! We're surrounded by stunning natural beauty. They spent their days hiking, fishing, and enjoying each other’s company, feeling grateful for the chance to escape. >>> go on Here are another 100 examples:",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a road trip across Europe. This is an adventure of a lifetime, look! We're seeing so many iconic sights and landscapes. They visited famous landmarks, sampled delicious food, and enjoyed each other’s company, feeling grateful for the chance to travel together.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a camping trip in a remote wilderness area. This is an adventure like no other, look! We're taking a break from daily life and immersing ourselves in nature. They spent their days exploring trails, fishing, and enjoying each other’s company, feeling grateful for the chance to escape.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a road trip across Asia. This is an adventure of a lifetime, look! We're seeing so many diverse cultures and experiencing new things every day. They visited famous landmarks, sampled delicious food, and enjoyed each other’s company, feeling grateful for the chance to travel together.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a camping trip in the desert. This is an adventure like no other, look! We're surrounded by towering dunes and open sky. They spent their days exploring, climbing sand dunes, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a road trip across South America. This is an adventure of a lifetime, look! We're seeing so many diverse cultures and experiencing new things every day. They visited famous landmarks, sampled delicious food, and enjoyed each other’s company, feeling grateful for the chance to travel together.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a camping trip in the mountains. This is an adventure like no other, look! We're surrounded by breathtaking scenery and fresh air. They spent their days exploring trails, fishing, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a road trip across Africa. This is an adventure of a lifetime, look! We're seeing so many diverse cultures and experiencing new things every day. They visited famous landmarks, sampled delicious food, and enjoyed each other’s company, feeling grateful for the chance to travel together.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a road trip across the country. Here we go, look! We're about to have an adventure of a lifetime. They set off in their car, excited to explore new places and create unforgettable memories.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a road trip across the country. This is going to be unforgettable, look! We're about to see so many amazing places. They packed their bags and hit the road, excited to explore new sights and make memories together.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a camping trip in the woods. What a perfect escape from reality, look! It's like we're in another world. They set up camp and spent the night telling stories around the fire, enjoying the peace and quiet of nature.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a road trip across the country. This is going to be an adventure of a lifetime, look! We're going to create so many memories together. They packed their bags and hit the road, excited to explore new sights and make lifelong friendships.",INTJ,,,,,,,,,L,0,tab10_color_0,False
"A group of friends went on a camping trip in the woods. This is so peaceful and relaxing, look! It's exactly what we needed to recharge. They spent their days hiking, fishing, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,0,tab10_color_0,False
